Регион;Округ;Год;Направления реализации государственной молодeжной политики;№ строки; Бюджет СРФ, руб ; Бюджет МО, руб ; Кол-во грантов ; Бюджет грантов, руб ; Численность молодeжи, задействованной в программных мероприятиях по направлению ; Количество детских и молодeжных общественных объединений, работающих по данному  ;;;
Республика Адыгея;ЮФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11;;;;;;;;;
Республика Адыгея;ЮФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12;;;;;;;;;
Республика Адыгея;ЮФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13;;; 3 ; 2 370 600 ;; 3 ;;;
Республика Адыгея;ЮФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14;;;;;;;;;
Республика Адыгея;ЮФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15;;;;;;;;;
Республика Адыгея;ЮФО;2021;Формирование у молодeжи семейных ценностей;16; 1 197 590 ;; 1 ; 1 197 590 ;; 1 ;;;
Республика Адыгея;ЮФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 4 265 337 ; -   ; 2 ; 1 560 800 ; 27 415 ; 4 ;;;
Республика Адыгея;ЮФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18; 2 673 983 ;; 1 ; 780 400 ; 4 278 ; 2 ;;;
Республика Адыгея;ЮФО;2021;      поисковых отрядов и объединений;19; 13 123 ;;;; 50 ;;;;
Республика Адыгея;ЮФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20; 75 400 ;;;; 100 ;;;;
Республика Адыгея;ЮФО;2021;      молодeжных казачьих объединений;21; 802 772 ;; 1 ; 780 400 ; 100 ; 1 ;;;
Республика Адыгея;ЮФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22;;;;; 22 587 ;;;;
Республика Адыгея;ЮФО;2021;      другие;23; 700 059 ;;;; 300 ; 1 ;;;
Республика Адыгея;ЮФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24;;; 3 ; 2 329 785 ;;;;;
Республика Адыгея;ЮФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25; 2 370 600 ;; 3 ; 2 370 600 ;; 3 ;;;
Республика Адыгея;ЮФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26;;;;;;;;;
Республика Адыгея;ЮФО;2021;Развитие молодeжного самоуправления;27;;;;;;;;;
Республика Алтай;СФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; -   ; -   ; -   ; -   ; 476 ; 9 ;;;
Республика Алтай;СФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Алтай;СФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; -   ; -   ; -   ; 24 ; -   ;;;
Республика Алтай;СФО;2021;      аэрокосмос;4; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Алтай;СФО;2021;      сельское хозяйство;5; -   ; -   ; -   ; -   ; 4 ; -   ;;;
Республика Алтай;СФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; -   ; -   ; -   ; -   ; 448 ; 9 ;;;
Республика Алтай;СФО;2021;      другое;7; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Алтай;СФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; 210 000 ; 245 700 ; -   ; -   ; 867 ; -   ;;;
Республика Алтай;СФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; 80 000 ; 20 000 ; -   ; -   ; 423 ; 4 ;;;
Республика Алтай;СФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; -   ; 54 200 ; -   ; -   ; 5 ;;;;
Республика Алтай;СФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; 968 365 ; 140 979 ; -   ; -   ; 124 ; -   ;;;
Республика Алтай;СФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; 250 000 ; 59 216 ; -   ; -   ; 3 011 ; 4 ;;;
Республика Алтай;СФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; 438 648 ; 70 000 ; -   ; -   ; 21 022 ; 9 ;;;
Республика Алтай;СФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 1 100 000 ; 50 000 ; -   ; -   ; 18 770 ; -   ;;;
Республика Алтай;СФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; 300 000 ; 55 000 ; -   ; -   ; 979 ;;;;
Республика Алтай;СФО;2021;Формирование у молодeжи семейных ценностей;16; 250 000 ; 286 160 ; 1 ; 2 561 447 ; 1 295 ; -   ;;;
Республика Алтай;СФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 2 200 000 ; 634 100 ; -   ; -   ; 6 100 ; 70 ;;;
Республика Алтай;СФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18; 1 146 442 ; 150 000 ; -   ; -   ; 4 800 ; 53 ;;;
Республика Алтай;СФО;2021;      поисковых отрядов и объединений;19; 1 000 000 ; -   ; -   ; -   ; 300 ; 9 ;;;
Республика Алтай;СФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20; -   ; -   ; -   ; -   ; 100 ; 1 ;;;
Республика Алтай;СФО;2021;      молодeжных казачьих объединений;21; -   ; -   ; -   ; -   ; 500 ; 5 ;;;
Республика Алтай;СФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22; 53 558 ; 66 100 ; -   ; -   ; 240 ; -   ;;;
Республика Алтай;СФО;2021;      другие;23; -   ; 418 000 ; -   ; -   ; 160 ; 2 ;;;
Республика Алтай;СФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24; 378 420 ; 18 100 ; -   ; -   ; 2 810 ; 1 ;;;
Республика Алтай;СФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25; 2 033 700 ; 128 300 ; -   ; -   ; 39 549 ; 228 ;;;
Республика Алтай;СФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26; 299 031 ; 298 030 ; -   ; -   ; 5 768 ; 31 ;;;
Республика Алтай;СФО;2021;Развитие молодeжного самоуправления;27; 247 776 ; 125 000 ; -   ; -   ; 621 ;;;;
Республика Башкортостан;ПФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; 61 418 200 ; 19 077 055 ; 43 ; 92 310 998 ; 26 978 ; 62 ;;;
Республика Башкортостан;ПФО;2021;      биомедицина;2; 9 000 000 ; -   ; 5 ; 9 000 000 ; 915 ; 3 ;;;
Республика Башкортостан;ПФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; 15 000 000 ; -   ; 11 ; 15 000 000 ; 703 ; 4 ;;;
Республика Башкортостан;ПФО;2021;      аэрокосмос;4; 1 000 000 ; -   ; 1 ; 1 000 000 ; 300 ; 5 ;;;
Республика Башкортостан;ПФО;2021;      сельское хозяйство;5; 34 418 200 ; 11 122 400 ; 17 ; 63 159 711 ; 791 ; 11 ;;;
Республика Башкортостан;ПФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; 2 000 000 ; 5 057 588 ; 3 ; 3 226 287 ; 16 853 ; 30 ;;;
Республика Башкортостан;ПФО;2021;      другое;7; -   ; 2 897 067 ; 6 ; 925 000 ; 7 416 ; 9 ;;;
Республика Башкортостан;ПФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; 43 627 400 ; 4 099 951 ; 12 ; 9 301 347 ; 197 610 ; 32 ;;;
Республика Башкортостан;ПФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; 2 447 061 ; 203 931 ; 3 ; 1 037 500 ; 13 477 ; 105 ;;;
Республика Башкортостан;ПФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; 936 700 ; 195 917 ; 2 ; 403 200 ; 2 107 ;;;;
Республика Башкортостан;ПФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; 8 779 459 ; 123 876 ; 1 ; 2 680 000 ; 23 188 ; 30 ;;;
Республика Башкортостан;ПФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; 26 042 000 ; 3 623 839 ; 7 ; 227 400 ; 22 234 ; 23 ;;;
Республика Башкортостан;ПФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; 22 851 257 ; 16 747 690 ; 21 ; 3 575 657 ; 296 390 ; 263 ;;;
Республика Башкортостан;ПФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 112 398 000 ; 1 263 835 ; 104 ; 69 432 865 ; 69 196 ; 16 ;;;
Республика Башкортостан;ПФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; 25 619 326 ; 677 862 ; 31 ; 24 383 785 ; 326 220 ;;;;
Республика Башкортостан;ПФО;2021;Формирование у молодeжи семейных ценностей;16; 1 157 163 ; 1 440 163 ; 8 ; 718 260 ; 197 542 ; 30 ;;;
Республика Башкортостан;ПФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 169 304 670 ; 14 706 468 ; 20 ; 5 941 610 ; 213 126 ; 595 ;37500;;
Республика Башкортостан;ПФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18; 13 524 300 ; 13 035 079 ; 6 ; 65 200 ; 145 650 ; 364 ;;;
Республика Башкортостан;ПФО;2021;      поисковых отрядов и объединений;19; 5 316 370 ; 241 230 ; 2 ; 3 316 410 ; 5 500 ; 51 ;;;
Республика Башкортостан;ПФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20; 148 664 000 ; 425 403 ; 2 ; 100 000 ; 15 144 ; 60 ;;;
Республика Башкортостан;ПФО;2021;      молодeжных казачьих объединений;21; -   ; 5 050 ; -   ; -   ; 1 880 ; 23 ;;;
Республика Башкортостан;ПФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22; 1 800 000 ; 999 706 ; 10 ; 2 460 000 ; 44 952 ; 97 ;;;
Республика Башкортостан;ПФО;2021;      другие;23; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Башкортостан;ПФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24; 5 294 370 ; 2 100 582 ; 11 ; 1 829 570 ; 124 599 ; 36 ;;;
Республика Башкортостан;ПФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25; 28 594 400 ; 2 927 330 ; 4 ; 202 858 ; 269 448 ; 399 ;;;
Республика Башкортостан;ПФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26; 12 432 463 ; 10 653 059 ; 22 ; 13 011 708 ; 377 255 ; 68 ;;;
Республика Башкортостан;ПФО;2021;Развитие молодeжного самоуправления;27; 4 366 657 ; 180 300 ; 5 ; 180 000 ; 281 029 ;;;;
Республика Бурятия;ДФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; 450 000 ; -   ; 2 ; 300 000 ; 500 ; 1 ;;;
Республика Бурятия;ДФО;2021;      биомедицина;2;;; -   ;;;;;;
Республика Бурятия;ДФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3;;; -   ;;;;;;
Республика Бурятия;ДФО;2021;      аэрокосмос;4;;; -   ;;;;;;
Республика Бурятия;ДФО;2021;      сельское хозяйство;5;;; -   ;;;;;;
Республика Бурятия;ДФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6;;; -   ;;;;;;
Республика Бурятия;ДФО;2021;      другое;7; 450 000 ;; 2 ; 300 000 ; 500 ; 1 ;;;
Республика Бурятия;ДФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8;;; 2 ; 340 000 ; 460 ; 2 ;;;
Республика Бурятия;ДФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; 1 250 000 ;; 6 ; 850 000 ; 3 900 ; 1 ;;;
Республика Бурятия;ДФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10;;;;;;;;;
Республика Бурятия;ДФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11;;;;;;;;;
Республика Бурятия;ДФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; 890 000 ; 135 747 ; 3 ; 187 000 ; 1 720 ; 2 ;;;
Республика Бурятия;ДФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; 2 300 000 ; 36 055 ; 1 ; 250 000 ; 1 950 ; 2 ;;;
Республика Бурятия;ДФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 900 000 ; 165 ; 3 ; 400 000 ; 3 400 ; 1 ;;;
Республика Бурятия;ДФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15;;; 2 ; 450 000 ;;;;;
Республика Бурятия;ДФО;2021;Формирование у молодeжи семейных ценностей;16; 301 000 ; 151 ; 4 ; 593 000 ; 2 550 ; 1 ;;;
Республика Бурятия;ДФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 1 300 000 ; 188 ; 2 ; 410 000 ; 1 530 ; 3 ;;;
Республика Бурятия;ДФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18;;;;;;;;;
Республика Бурятия;ДФО;2021;      поисковых отрядов и объединений;19;;;;;; 1 ;;;
Республика Бурятия;ДФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20;;;;;;;;;
Республика Бурятия;ДФО;2021;      молодeжных казачьих объединений;21;;; 1 ; 210 000 ;; 1 ;;;
Республика Бурятия;ДФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22;;;;;; 1 ;;;
Республика Бурятия;ДФО;2021;      другие;23; 1 300 000 ; 188 ; 1 ; 200 000 ; 1 530 ;;;;
Республика Бурятия;ДФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24;;;;; 4 588 ;;;;
Республика Бурятия;ДФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25; 5 500 000 ; 813 689 ; 3 ; 550 000 ; 91 259 ; 10 ;;;
Республика Бурятия;ДФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26;;; 5 ; 563 000 ; 5 700 ; 4 ;;;
Республика Бурятия;ДФО;2021;Развитие молодeжного самоуправления;27;;;;;;;;;
Республика Дагестан;СКФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; -   ; -   ; -   ; -   ; 1 100 ; 2 ;;;
Республика Дагестан;СКФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Дагестан;СКФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Дагестан;СКФО;2021;      аэрокосмос;4; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Дагестан;СКФО;2021;      сельское хозяйство;5; -   ; -   ; -   ; -   ; 700 ; 1 ;;;
Республика Дагестан;СКФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; -   ; -   ; -   ; -   ; 400 ; 1 ;;;
Республика Дагестан;СКФО;2021;      другое;7; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Дагестан;СКФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Дагестан;СКФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; 1 200 000 ; -   ; -   ; -   ; 1 200 ; 4 ;;;
Республика Дагестан;СКФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; 1 000 000 ; -   ; -   ; -   ; 250 ;;;;
Республика Дагестан;СКФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; 1 100 700 ; -   ; -   ; -   ; 1 200 ; -   ;;;
Республика Дагестан;СКФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; 2 850 000 ; -   ; -   ; -   ; 28 000 ; -   ;;;
Республика Дагестан;СКФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; 2 900 000 ; -   ; -   ; -   ; 6 000 ; 2 ;;;
Республика Дагестан;СКФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 2 100 000 ; -   ; -   ; -   ; 250 ; 1 ;;;
Республика Дагестан;СКФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; 3 600 000 ; -   ; -   ; -   ; 300 ;;;;
Республика Дагестан;СКФО;2021;Формирование у молодeжи семейных ценностей;16; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Дагестан;СКФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 3 765 000 ; -   ; 10 ; 1 500 000 ; 365 300 ; 336 ;;;
Республика Дагестан;СКФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18; 925 000 ; -   ; -   ; -   ; 360 000 ; 52 ;;;
Республика Дагестан;СКФО;2021;      поисковых отрядов и объединений;19; 1 000 000 ; -   ; -   ; -   ; 200 ; 5 ;;;
Республика Дагестан;СКФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20; -   ; -   ; -   ; -   ; 3 000 ; 260 ;;;
Республика Дагестан;СКФО;2021;      молодeжных казачьих объединений;21; -   ; -   ; -   ; -   ; 100 ; 18 ;;;
Республика Дагестан;СКФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22; -   ; -   ; -   ; -   ; 2 000 ; 1 ;;;
Республика Дагестан;СКФО;2021;      другие;23; 1 840 000 ; -   ; 10 ; 1 500 000 ; -   ; -   ;;;
Республика Дагестан;СКФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24; 530 000 ; -   ; -   ; -   ; 10 000 ; 5 ;;;
Республика Дагестан;СКФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25; 3 557 750 ;; 6 ; 1 300 ; 32 246 ; 34 ;;;
Республика Дагестан;СКФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26; 2 850 000 ; -   ; 4 ; 1 000 000 ; 300 000 ; 10 ;;;
Республика Дагестан;СКФО;2021;Развитие молодeжного самоуправления;27; 1 600 000 ; -   ; -   ; -   ; 350 ;;;;
Республика Ингушетия;СКФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; -   ; -   ; -   ; 2 000 000 ; 10 200 ; 11 ;;;
Республика Ингушетия;СКФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Ингушетия;СКФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Ингушетия;СКФО;2021;      аэрокосмос;4; -   ; -   ; -   ; -   ; 200 ; 1 ;;;
Республика Ингушетия;СКФО;2021;      сельское хозяйство;5; -   ; -   ; -   ; -   ; 5 000 ; 2 ;;;
Республика Ингушетия;СКФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; -   ; -   ; -   ; 2 000 000 ; 5 000 ; 8 ;;;
Республика Ингушетия;СКФО;2021;      другое;7; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Ингушетия;СКФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8;;;;;;;;;
Республика Ингушетия;СКФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9;;;; 1 341 738 ; 90 ; 1 ;;;
Республика Ингушетия;СКФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10;;;;;;;;;
Республика Ингушетия;СКФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Ингушетия;СКФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Ингушетия;СКФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Ингушетия;СКФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Ингушетия;СКФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; -   ; -   ; -   ; -   ; -   ;;;;
Республика Ингушетия;СКФО;2021;Формирование у молодeжи семейных ценностей;16; -   ; -   ; -   ; -   ; -   ;;;;
Республика Ингушетия;СКФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 13 121 000 ; -   ; -   ; -   ; 7 000 ; -   ;;;
Республика Ингушетия;СКФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18; 13 121 000 ;;;; 7 000 ;;;;
Республика Ингушетия;СКФО;2021;      поисковых отрядов и объединений;19; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Ингушетия;СКФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20;;;;;;;;;
Республика Ингушетия;СКФО;2021;      молодeжных казачьих объединений;21;;;;;;;;;
Республика Ингушетия;СКФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Ингушетия;СКФО;2021;      другие;23; -   ; -   ; -   ; -   ;;;;;
Республика Ингушетия;СКФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24;;;;; 20 782 ;;;;
Республика Ингушетия;СКФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25; -   ;; -   ; -   ; 33 368 ; -   ;;;
Республика Ингушетия;СКФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26; -   ; -   ; -   ; -   ; -   ; -   ;;;
Республика Ингушетия;СКФО;2021;Развитие молодeжного самоуправления;27; -   ; -   ; -   ; -   ; -   ;;;;
Республика Калмыкия;ЮФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; 18 600 ; -   ; -   ; -   ; 526 ; -   ;;;
Республика Калмыкия;ЮФО;2021;      биомедицина;2;;;;;;;;;
Республика Калмыкия;ЮФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3;;;;;;;;;
Республика Калмыкия;ЮФО;2021;      аэрокосмос;4;;;;;;;;;
Республика Калмыкия;ЮФО;2021;      сельское хозяйство;5;;;;;;;;;
Республика Калмыкия;ЮФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; 18 600 ;;;; 526 ;;;;
Республика Калмыкия;ЮФО;2021;      другое;7;;;;;;;;;
Республика Калмыкия;ЮФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; 20 000 ;;;; 65 ;;;;
Республика Калмыкия;ЮФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; 4 000 ;;;; 55 ;;;;
Республика Калмыкия;ЮФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; 9 620 ;;;; 75 ;;;;
Республика Калмыкия;ЮФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; 160 000 ;;;; 130 ;;;;
Республика Калмыкия;ЮФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12;; 1 ;;; 178 ;;;;
Республика Калмыкия;ЮФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; 57 070 ;;;; 1 300 ;;;;
Республика Калмыкия;ЮФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 9 260 ;;;; 210 ;;;;
Республика Калмыкия;ЮФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; 186 230 ;;;; 690 ;;;;
Республика Калмыкия;ЮФО;2021;Формирование у молодeжи семейных ценностей;16; 3 060 ;;;; 491 ;;;;
Республика Калмыкия;ЮФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 1 281 636 ; -   ; -   ; -   ; 14 200 ; 226 ;108380;;
Республика Калмыкия;ЮФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18; 994 788 ;;;; 5 200 ; 219 ;;;
Республика Калмыкия;ЮФО;2021;      поисковых отрядов и объединений;19; 246 848 ;;;; 500 ; 1 ;;;
Республика Калмыкия;ЮФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20;;;;; 6 000 ; -   ;;;
Республика Калмыкия;ЮФО;2021;      молодeжных казачьих объединений;21; 40 000 ;;;; 100 ; 1 ;;;
Республика Калмыкия;ЮФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22; -   ;;;; 2 400 ; 5 ;;;
Республика Калмыкия;ЮФО;2021;      другие;23;;;;;;;;;
Республика Калмыкия;ЮФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24; 250 000 ;;;; 730 ;;;;
Республика Калмыкия;ЮФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25; 372 000 ;;;; 18 300 ;;;;
Республика Калмыкия;ЮФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26; 250 000 ;;;; 800 ;;;;
Республика Калмыкия;ЮФО;2021;Развитие молодeжного самоуправления;27; 244 441 ; 18 ;;; 5 700 ;;;;
Республика Карелия;СЗФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; -   ; -   ; 2 ; 1 769 310 ; 3 016 ; 14 ;;;
Республика Карелия;СЗФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ;;;;;
Республика Карелия;СЗФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; -   ; -   ; -   ; 6 ; 1 ;;;
Республика Карелия;СЗФО;2021;      аэрокосмос;4; -   ; -   ; -   ; -   ;; -   ;;;
Республика Карелия;СЗФО;2021;      сельское хозяйство;5; -   ; -   ; -   ; -   ; 293 ; 1 ;;;
Республика Карелия;СЗФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; -   ; -   ; 2 ; 1 769 310 ; 657 ; 5 ;;;
Республика Карелия;СЗФО;2021;      другое;7; -   ; -   ; -   ; -   ; 2 060 ; 7 ;;;
Республика Карелия;СЗФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; 850 000 ; 26 078 ; 4 ; 4 870 689 ; 4 755 ; 18 ;;;
Республика Карелия;СЗФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; 754 000 ; 2 413 ; -   ; -   ; 316 ; 10 ;;;
Республика Карелия;СЗФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; 1 262 000 ; 23 148 ; 1 ; 1 999 092 ; 30 ;;;;
Республика Карелия;СЗФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; 5 000 000 ; 12 800 ; -   ; -   ; 1 013 ; 11 ;;;
Республика Карелия;СЗФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; 200 000 ; 200 000 ; 1 ; 1 711 181 ; 571 ; 19 ;;;
Республика Карелия;СЗФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; 963 000 ; 600 492 ; 2 ; 2 299 684 ; 15 483 ; 23 ;;;
Республика Карелия;СЗФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 878 000 ; 200 069 ; 3 ; 4 428 196 ; 3 381 ; 17 ;;;
Республика Карелия;СЗФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; 1 250 000 ; 104 200 ; 2 ; 2 555 902 ; 1 682 ;;;;
